Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
     5587.16	     1148.01	        0.00	     6735.17	006271	        0.00
     9047.86	     2239.19	        0.00	    11287.05	006301	        0.00
     9355.18	     3138.81	        0.00	    12493.99	006327	        0.00
     7046.36	     1950.26	        0.00	     8996.62	006343	        0.00
     9666.99	     2887.93	        0.00	    12554.92	006360	        0.00
    18729.14	     9308.43	     2778.50	    27655.75	006386	     2396.68
     4077.04	     2972.11	        0.00	     7049.15	006408	        0.00
     6066.26	     2034.01	      802.73	     7297.54	006441	        0.00
     8412.82	     1890.05	        0.00	    10302.87	006467	        0.00
     4066.50	      111.30	        0.00	     4177.80	006475	        0.00
     7983.02	     1653.75	        0.00	     9636.77	006491	        0.00
     2008.07	         .00	        0.00	     2008.07	006505	        0.00
     8994.94	     2485.14	        0.00	    11480.08	006513	        0.00
    12199.69	     3810.43	        0.00	    16010.12	006530	        0.00
     6340.13	     1561.98	        0.00	     7902.11	006548	        0.00
     1121.24	     1603.86	        0.00	     2725.10	006564	        0.00
     5238.85	     1154.69	        0.00	     6393.54	006599	        0.00
     9743.89	     2541.06	        0.00	    12284.95	006611	        0.00
     7749.19	     1444.40	        0.00	     9193.59	006629	        0.00
    15883.83	     5997.52	        0.00	    23941.31	006637	     2059.96
     8296.08	     1825.87	        0.00	    10121.95	006645	        0.00
     7014.26	     2660.68	      958.78	     8716.16	006661	        0.00
      703.90	     1838.62	        0.00	     2542.52	006688	        0.00
     6613.32	      900.71	        0.00	     7514.03	006718	        0.00
     6716.84	     2489.84	      912.37	     8294.31	006726	        0.00
     2652.41	       54.13	        0.00	     2706.54	006751	        0.00
     5385.37	     1037.06	        0.00	     6422.43	006777	        0.00
     3881.61	     1966.34	        0.00	     5847.95	006793	        0.00
     6714.68	      794.84	        0.00	     7509.52	006807	        0.00
     9860.38	     2685.91	        0.00	    12546.29	006823	        0.00
     7210.62	     2336.48	        0.00	     9547.10	006840	        0.00
    11932.03	     5166.31	        0.00	    17098.34	006947	        0.00
     3739.72	       76.32	        0.00	     3816.04	006955	        0.00
     9145.18	     2292.70	        0.00	    11437.88	006980	        0.00
     2411.28	       49.21	        0.00	     2460.49	006998	        0.00
     9307.60	      211.45	        0.00	     9519.05	007005	        0.00
     2310.81	       47.16	        0.00	     2357.97	007064	        0.00
     5740.63	     1455.42	        0.00	     7196.05	007072	        0.00
    10591.19	     3087.70	        0.00	    13678.89	007081	        0.00
    11221.65	     3434.31	        0.00	    14655.96	007099	        0.00
     9356.28	     2785.10	        0.00	    12141.38	007102	        0.00
     8266.48	     2621.06	        0.00	    10887.54	007111	        0.00
     8861.52	     3639.79	     1238.87	    11262.44	007129	        0.00
     7669.44	     1481.35	        0.00	     9150.79	007153	        0.00
     9840.86	     3829.55	        0.00	    13670.41	007170	        0.00
     6470.34	     2063.06	      703.42	     7829.98	007196	        0.00
     7634.48	         .00	        0.00	     7634.48	007242	        0.00
     8062.94	     2009.91	        0.00	    10072.85	007251	        0.00
     7258.59	     2066.93	        0.00	     9325.52	007269	        0.00
     7775.78	     3098.16	     1077.60	     9796.34	007277	        0.00
     3916.92	      854.21	        0.00	     4771.13	007285	        0.00
    11114.50	     3213.80	        0.00	    14328.30	007293	        0.00
     8506.00	     3029.50	        0.00	    11535.50	007323	        0.00
     6898.38	     2149.32	        0.00	     9047.70	007331	        0.00
     4664.80	      727.23	        0.00	     5392.03	007358	        0.00
     7032.39	     2589.02	      953.47	     8667.94	007366	        0.00
     3936.73	      834.40	        0.00	     4771.13	007382	        0.00
     2569.54	     2274.85	        0.00	     4844.39	007391	        0.00
     7722.54	     5720.81	     1189.99	    12253.36	007404	        0.00
     7437.69	     2821.85	     1016.71	     9242.83	007412	        0.00
    15309.89	     7344.17	     2245.00	    20409.06	007439	        0.00
     8124.05	     1731.29	        0.00	     9855.34	007447	        0.00
     2947.86	         .00	        0.00	     2947.86	007455	        0.00
     5556.70	      379.63	        0.00	     5936.33	007498	        0.00
     5261.86	      233.14	        0.00	     5495.00	007501	        0.00
     6660.37	      926.58	        0.00	     7586.95	007510	        0.00
     7671.18	     1482.31	        0.00	     9153.49	007528	        0.00
     6532.91	     1930.28	        0.00	     8463.19	007536	        0.00
    11252.03	     3837.95	        0.00	    15089.98	007544	        0.00
     8794.46	     2099.87	        0.00	    10894.33	007561	        0.00
     4535.45	       58.98	        0.00	     4594.43	007595	        0.00
    11808.36	     5092.19	        0.00	    16900.55	007617	        0.00
      693.74	     1684.73	        0.00	     2378.47	007625	        0.00
     3316.63	         .00	        0.00	     3316.63	007633	        0.00
     3691.68	       75.34	        0.00	     3767.02	007676	        0.00
